phi_deg,psi_deg,r_pitch,r_profile,alpha_deg
277.5000,1.6550,56.4425,46.4172,24.9573
278.0000,1.4785,56.1817,45.9730,23.2629
278.5000,1.3135,55.9378,45.5462,21.5181
279.0000,1.1598,55.7108,45.1389,19.7325
279.5000,1.0174,55.5005,44.7534,17.9170
280.0000,0.8860,55.3066,44.3918,16.0834
280.5000,0.7655,55.1288,44.0557,14.2446
281.0000,0.6557,54.9667,43.7466,12.4140
281.5000,0.5562,54.8199,43.4656,10.6055
282.0000,0.4668,54.6880,43.2131,8.8328
282.5000,0.3870,54.5703,42.9892,7.1093
283.0000,0.3164,54.4663,42.7934,5.4478
283.5000,0.2547,54.3753,42.6247,3.8602
284.0000,0.2013,54.2967,42.4818,2.3574
284.5000,0.1558,54.2295,42.3628,0.9489
285.0000,0.1175,54.1732,42.2657,0.3569
285.5000,0.0860,54.1267,42.1883,1.5530
286.0000,0.0606,54.0893,42.1283,2.6337
286.5000,0.0407,54.0600,42.0831,3.5942
287.0000,0.0257,54.0379,42.0505,4.4311
287.5000,0.0149,54.0220,42.0281,5.1417
288.0000,0.0076,54.0113,42.0138,5.7243
288.5000,0.0032,54.0048,42.0056,6.1777
289.0000,0.0010,54.0014,42.0016,6.5015
289.5000,0.0001,54.0002,42.0002,6.6954
290.0000,0.0000,54.0000,42.0000,6.7707
290.5000,0.0000,54.0000,42.0000,0.0000
291.0000,0.0000,54.0000,42.0000,0.0000
291.5000,0.0000,54.0000,42.0000,0.0000
292.0000,0.0000,54.0000,42.0000,0.0000
292.5000,0.0000,54.0000,42.0000,0.0000
293.0000,0.0000,54.0000,42.0000,0.0000
293.5000,0.0000,54.0000,42.0000,0.0000
294.0000,0.0000,54.0000,42.0000,0.0000
294.5000,0.0000,54.0000,42.0000,0.0000
295.0000,0.0000,54.0000,42.0000,0.0000
295.5000,0.0000,54.0000,42.0000,0.0000
296.0000,0.0000,54.0000,42.0000,0.0000
296.5000,0.0000,54.0000,42.0000,0.0000
297.0000,0.0000,54.0000,42.0000,0.0000
297.5000,0.0000,54.0000,42.0000,0.0000
298.0000,0.0000,54.0000,42.0000,0.0000
298.5000,0.0000,54.0000,42.0000,0.0000
299.0000,0.0000,54.0000,42.0000,0.0000
299.5000,0.0000,54.0000,42.0000,0.0000
300.0000,0.0000,54.0000,42.0000,0.0000
300.5000,0.0000,54.0000,42.0000,0.0000
301.0000,0.0000,54.0000,42.0000,0.0000
301.5000,0.0000,54.0000,42.0000,0.0000
302.0000,0.0000,54.0000,42.0000,0.0000
302.5000,0.0000,54.0000,42.0000,0.0000
303.0000,0.0000,54.0000,42.0000,0.0000
303.5000,0.0000,54.0000,42.0000,0.0000
304.0000,0.0000,54.0000,42.0000,0.0000
304.5000,0.0000,54.0000,42.0000,0.0000
305.0000,0.0000,54.0000,42.0000,0.0000
305.5000,0.0000,54.0000,42.0000,0.0000
306.0000,0.0000,54.0000,42.0000,0.0000
306.5000,0.0000,54.0000,42.0000,0.0000
307.0000,0.0000,54.0000,42.0000,0.0000
307.5000,0.0000,54.0000,42.0000,0.0000
308.0000,0.0000,54.0000,42.0000,0.0000
308.5000,0.0000,54.0000,42.0000,0.0000
309.0000,0.0000,54.0000,42.0000,0.0000
309.5000,0.0000,54.0000,42.0000,0.0000
310.0000,0.0000,54.0000,42.0000,0.0000
310.5000,0.0000,54.0000,42.0000,0.0000
311.0000,0.0000,54.0000,42.0000,0.0000
311.5000,0.0000,54.0000,42.0000,0.0000
312.0000,0.0000,54.0000,42.0000,0.0000
312.5000,0.0000,54.0000,42.0000,0.0000
313.0000,0.0000,54.0000,42.0000,0.0000
313.5000,0.0000,54.0000,42.0000,0.0000
314.0000,0.0000,54.0000,42.0000,0.0000
314.5000,0.0000,54.0000,42.0000,0.0000
315.0000,0.0000,54.0000,42.0000,0.0000
315.5000,0.0000,54.0000,42.0000,0.0000
316.0000,0.0000,54.0000,42.0000,0.0000
316.5000,0.0000,54.0000,42.0000,0.0000
317.0000,0.0000,54.0000,42.0000,0.0000
317.5000,0.0000,54.0000,42.0000,0.0000
318.0000,0.0000,54.0000,42.0000,0.0000
318.5000,0.0000,54.0000,42.0000,0.0000
319.0000,0.0000,54.0000,42.0000,0.0000
319.5000,0.0000,54.0000,42.0000,0.0000
320.0000,0.0000,54.0000,42.0000,0.0000
320.5000,0.0000,54.0000,42.0000,0.0000
321.0000,0.0000,54.0000,42.0000,0.0000
321.5000,0.0000,54.0000,42.0000,0.0000
322.0000,0.0000,54.0000,42.0000,0.0000
322.5000,0.0000,54.0000,42.0000,0.0000
323.0000,0.0000,54.0000,42.0000,0.0000
323.5000,0.0000,54.0000,42.0000,0.0000
324.0000,0.0000,54.0000,42.0000,0.0000
324.5000,0.0000,54.0000,42.0000,0.0000
325.0000,0.0000,54.0000,42.0000,0.0000
325.5000,0.0000,54.0000,42.0000,0.0000
326.0000,0.0000,54.0000,42.0000,0.0000
326.5000,0.0000,54.0000,42.0000,0.0000
327.0000,0.0000,54.0000,42.0000,0.0000
327.5000,0.0000,54.0000,42.0000,0.0000
328.0000,0.0000,54.0000,42.0000,0.0000
328.5000,0.0000,54.0000,42.0000,0.0000
329.0000,0.0000,54.0000,42.0000,0.0000
329.5000,0.0000,54.0000,42.0000,0.0000
330.0000,0.0000,54.0000,42.0000,0.0000
330.5000,0.0000,54.0000,42.0000,0.0000
331.0000,0.0000,54.0000,42.0000,0.0000
331.5000,0.0000,54.0000,42.0000,0.0000
332.0000,0.0000,54.0000,42.0000,0.0000
332.5000,0.0000,54.0000,42.0000,0.0000
333.0000,0.0000,54.0000,42.0000,0.0000
333.5000,0.0000,54.0000,42.0000,0.0000
334.0000,0.0000,54.0000,42.0000,0.0000
334.5000,0.0000,54.0000,42.0000,0.0000
335.0000,0.0000,54.0000,42.0000,0.0000
335.5000,0.0000,54.0000,42.0000,0.0000
336.0000,0.0000,54.0000,42.0000,0.0000
336.5000,0.0000,54.0000,42.0000,0.0000
337.0000,0.0000,54.0000,42.0000,0.0000
337.5000,0.0000,54.0000,42.0000,0.0000
338.0000,0.0000,54.0000,42.0000,0.0000
338.5000,0.0000,54.0000,42.0000,0.0000
339.0000,0.0000,54.0000,42.0000,0.0000
339.5000,0.0000,54.0000,42.0000,0.0000
340.0000,0.0000,54.0000,42.0000,0.0000
340.5000,0.0000,54.0000,42.0000,0.0000
341.0000,0.0000,54.0000,42.0000,0.0000
341.5000,0.0000,54.0000,42.0000,0.0000
342.0000,0.0000,54.0000,42.0000,0.0000
