phi_deg,psi_deg,s_mm,v_mmps,a_mmps2
147,3.67627712420705,280.199552333422,-276.22583984814,-1748.81240966712
147.1,3.71102358652381,280.015013143161,-277.388735617406,-1739.8265785447
147.2,3.74592180485044,279.829700685932,-278.545608619533,-1730.74434128344
147.3,3.78097103118468,279.643618998335,-279.696394739118,-1721.56616506908
147.4,3.81617050820935,279.456772159613,-280.841030172958,-1712.29251713692
147.5,3.85151946933915,279.269164291438,-281.979451428633,-1702.92386261297
147.6,3.88701713876787,279.080799557708,-283.111595323109,-1693.46066563162
147.7,3.92266273151628,278.89168216434,-284.237398982809,-1683.90339032239
147.8,3.95845545348055,278.701816359064,-285.356799843539,-1674.2524994732
147.9,3.99439450148119,278.511206431216,-286.469735648773,-1664.50845470237
148,4.03047906331268,278.319856711533,-287.576144449809,-1654.67171767766
148.1,4.06670831779348,278.127771571949,-288.675964605676,-1644.74274860269
148.2,4.10308143481675,277.934955425392,-289.769134781279,-1634.72200738752
148.3,4.13959757540154,277.741412725574,-290.85559394886,-1624.60995355959
148.4,4.1762558917445,277.547147966793,-291.935281386025,-1614.40704537745
148.5,4.21305552727223,277.352165683726,-293.00813667603,-1604.11374124861
148.6,4.2499956166941,277.156470451225,-294.07409970769,-1593.73049904189
148.7,4.28707528605561,276.960066884116,-295.133110674752,-1583.25777595041
148.8,4.32429365279234,276.762959636992,-296.185110075624,-1572.69602910464
148.9,4.36164982578431,276.565153404015,-297.230038713558,-1562.04571576961
149,4.39914290541105,276.366652918708,-298.26783769665,-1551.30729281897
149.1,4.43677198360702,276.167462953753,-299.298448437317,-1540.48121647143
149.2,4.47453614391766,275.967588320791,-300.321812651945,-1529.56794384379
149.3,4.51243446155591,275.767033870217,-301.337872362442,-1518.56793268648
149.4,4.55046600345922,275.565804490974,-302.346569895527,-1507.48163936943
149.5,4.58862982834719,275.363905110356,-303.347847881602,-1496.30952140732
149.6,4.62692498677955,275.161340693799,-304.341649257404,-1485.05203756002
149.7,4.66535052121477,274.95811624468,-305.327917265015,-1473.70964620066
149.8,4.70390546606912,274.754236804112,-306.306595452338,-1462.2828065404
149.9,4.7425888477762,274.549707450743,-307.277627673735,-1450.77197846114
150,4.78139968484704,274.344533300547,-308.240958090286,-1439.17762285459
150.1,4.82033698793062,274.138719506623,-309.196531170875,-1427.50020178249
150.2,4.85939975987491,273.932271258986,-310.144291692662,-1415.74017810726
150.3,4.89858699578837,273.725193784366,-311.084184741685,-1403.89801592609
150.4,4.9378976831019,273.517492345997,-312.016155713897,-1391.97418155146
150.5,4.97733080163137,273.309172243414,-312.940150317086,-1379.96914147815
150.6,5.01688532364051,273.100238812241,-313.856114569202,-1367.88336376254
150.7,5.05656021390431,272.890697423989,-314.763994802103,-1355.71731987822
150.8,5.0963544297729,272.680553485838,-315.663737662373,-1343.47148184616
150.9,5.13626692123579,272.469812440439,-316.555290111231,-1331.14632364047
151,5.17629663098674,272.25847976569,-317.438599427227,-1318.74232161553
151.1,5.21644249448892,272.046560974536,-318.313613206719,-1306.25995424387
151.2,5.25670344004059,271.834061614748,-319.180279366218,-1293.6997030684
151.3,5.29707838884123,271.620987268714,-320.038546144143,-1281.06205183886
151.4,5.33756625505801,271.407343553222,-320.888362102003,-1268.34748652636
151.5,5.37816594589286,271.193136119245,-321.729676126178,-1255.55649597926
151.6,5.41887636164984,270.978370651721,-322.562437429976,-1242.68957246072
151.7,5.45969639580298,270.763052869338,-323.386595556126,-1229.74721115756
151.8,5.5006249350645,270.547188524313,-324.202100378186,-1216.72991045653
151.9,5.54166085945354,270.330783402167,-325.008902103402,-1203.63817285993
152,5.58280304236521,270.113843321508,-325.806951275333,-1190.47250327319
152.1,5.6240503506401,269.8963741338,-326.596198774432,-1177.23341020182
152.2,5.66540164463417,269.678381723142,-327.376595822268,-1163.92140702172
152.3,5.70685577828906,269.459872006037,-328.148093983795,-1150.53701101618
152.4,5.74841159920274,269.240850931164,-328.91064517029,-1137.08074298065
152.5,5.79006794870067,269.021324479143,-329.664201641102,-1123.55312791149
152.6,5.83182366190722,268.801298662309,-330.408716007505,-1109.95469636925
152.7,5.87367756781754,268.580779524467,-331.144141236261,-1096.28598245478
152.8,5.91562848936981,268.359773140661,-331.870430650778,-1082.54752448616
152.9,5.95767524351776,268.138285616932,-332.587537935576,-1068.73986705608
153,5.9998166413038,267.91632309008,-333.295417140186,-1054.86355932796
153.1,6.04205148793222,267.693891727412,-333.994022681347,-1040.91915521315
153.2,6.08437858284296,267.470997726505,-334.683309347137,-1026.9072141015
153.3,6.12679671978568,267.247647314949,-335.363232300149,-1012.82830098192
153.4,6.16930468689408,267.023846750104,-336.03374708178,-998.682986622338
153.5,6.21190126676075,266.79960231884,-336.694809615645,-984.471847115268
153.6,6.25458523651223,266.574920337284,-337.346376211267,-970.19546452264
153.7,6.29735536788443,266.349807150559,-337.988403568342,-955.854427140523
153.8,6.34021042729842,266.124269132526,-338.620848780788,-941.44932961888
153.9,6.38314917593647,265.898312685517,-339.243669341167,-926.980772408544
154,6.42617036981854,265.671944240071,-339.856823143999,-912.449362616192
154.1,6.46927275987897,265.445170254659,-340.460268491322,-897.85571403302
154.2,6.51245509204354,265.217997215416,-341.053964096043,-883.200446889184
154.3,6.55571610730683,264.990431635864,-341.637869087174,-868.484188735857
154.4,6.59905454180984,264.762480056633,-342.211943014357,-853.707573604589
154.5,6.64246912691804,264.534149045178,-342.77614585198,-838.871242901895
154.6,6.68595858929952,264.305445195497,-343.330438004893,-823.97584559134
154.7,6.72952165100364,264.076375127838,-343.874780312769,-809.022037127616
154.8,6.77315702953977,263.846945488413,-344.409134054397,-794.010480543844
154.9,6.81686343795643,263.617162949099,-344.933460953494,-778.941847290881
155,6.86063958492071,263.387034207142,-345.447723184118,-763.816816504785
155.1,6.90448417479789,263.156565984854,-345.9518833755,-748.636074134098
155.2,6.94839590773137,262.925765029308,-346.445904616297,-733.400314174808
155.3,6.99237347972285,262.694638112032,-346.929750461067,-718.110239870997
155.4,7.03641558271273,262.463192028693,-347.403384936125,-702.766561404068
155.5,7.0805209046609,262.231433598784,-347.866772542939,-687.369997337034
155.6,7.12468812962756,261.999369665303,-348.319878265907,-671.921275183894
155.7,7.16891593785445,261.767007094429,-348.762667576517,-656.421130336105
155.8,7.21320300584627,261.534352775201,-349.195106439689,-640.870307074216
155.9,7.25754800645226,261.301413619176,-349.617161319283,-625.269557741985
156,7.30194960894813,261.068196560108,-350.028799183345,-609.619643905713
156.1,7.34640647911812,260.834708553599,-350.429987511157,-593.921335576449
156.2,7.39091727933729,260.60095657676,-350.820694297447,-578.175411835118
156.3,7.43548066865406,260.366947627869,-351.200888060271,-562.382660740166
156.4,7.48009530287286,260.132688726013,-351.5705378451,-546.543878570487
156.5,7.52475983463714,259.898186910742,-351.929613231698,-530.659871736729
156.6,7.56947291351241,259.663449241704,-352.278084340749,-514.731455314901
156.7,7.61423318606958,259.428482798287,-352.615921838785,-498.759453213879
156.8,7.65903929596844,259.193294679252,-352.943096945035,-482.744699075256
156.9,7.70388988404127,258.957892002361,-353.259581437552,-466.688035524621
157,7.74878358837678,258.722281904002,-353.565347659067,-450.590314404444
157.1,7.79371904440403,258.486471538815,-353.860368523424,-434.452397181607
157.2,7.83869488497666,258.250468079304,-354.144617521976,-418.275154627911
157.3,7.88370974045721,258.014278715453,-354.418068729595,-402.059466839623
157.4,7.92876223880155,257.777910654332,-354.680696811096,-385.8062237043
157.5,7.9738510056436,257.541371119705,-354.932477027867,-369.516324111438
157.6,8.01897466438008,257.304667351628,-355.173385243244,-353.190676353417
157.7,8.06413183625537,257.067806606047,-355.403397929672,-336.830198824254
157.8,8.10932114044665,256.830796154388,-355.62249217501,-320.435818787597
157.9,8.15454119414898,256.593643283147,-355.830645688055,-304.008473671492
158,8.19979061266067,256.356355293471,-356.027836806572,-287.549110154902
158.1,8.24506800946868,256.118939500738,-356.214044501595,-271.05868369742
158.2,8.29037199633411,255.881403234135,-356.389248384835,-254.53816037998
158.3,8.3357011833779,255.643753836225,-356.553428715435,-237.98851538378
158.4,8.38105417916648,255.405998662515,-356.706566405347,-221.410732621318
158.5,8.42642959079765,255.168145081018,-356.848643025597,-204.80580634962
158.6,8.47182602398654,254.930200471814,-356.979640813813,-188.174740225325
158.7,8.51724208315152,254.692172226599,-357.099542679231,-171.518546373752
158.8,8.56267637150037,254.454067748242,-357.208332208978,-154.83824737567
158.9,8.60812749111639,254.215894450321,-357.305993675731,-138.134874271677
159,8.65359404304464,253.977659756674,-357.39251204134,-121.409467196471
159.1,8.69907462737828,253.739371100932,-357.467872965327,-104.663076432982
159.2,8.74456784334485,253.501035926054,-357.532062809917,-87.8967603534257
159.3,8.79007228939273,253.262661683852,-357.585068645798,-71.1115869996166
159.4,8.83558656327755,253.024255834526,-357.62687825925,-54.3086334430771
159.5,8.88110926214875,252.785825846174,-357.657480157055,-37.4889850236043
159.6,8.92663898263604,252.547379194316,-357.676863572615,-20.6537362765277
159.7,8.97217432093604,252.30892336141,-357.685018472091,-3.80399075439165
159.8,9.01771387289883,252.070465836354,-357.681935560288,13.0591399773998
159.9,9.06325623411452,251.832014113996,-357.667606285454,29.9345353178052
160,9.1088,251.59357569464,-357.642022846531,46.8210661474638
160.1,9.15434376588548,251.355158083534,-357.605178197258,63.7175960121467
160.2,9.19988612710117,251.116768790377,-357.557066051848,80.6229789616521
160.3,9.24542567906396,250.878415328798,-357.497680891975,97.5360607513041
160.4,9.29096101736396,250.640105215854,-357.427017970846,114.455680344746
160.5,9.33649073785125,250.401845971504,-357.345073318182,131.380669204504
160.6,9.38201343672245,250.163645118096,-357.25184374524,148.30984945076
160.7,9.42752771060727,249.925510179844,-357.147326852248,165.242035670551
160.8,9.47303215665515,249.687448682293,-357.031521031013,182.176036406933
160.9,9.51852537262172,249.449468151802,-356.904425470372,199.110652030065
161,9.56400595695536,249.211576115,-356.766040161639,216.044675857846
161.1,9.60947250888361,248.973780098253,-356.616365902562,232.976893904877
161.2,9.65492362849963,248.73608762713,-356.455404303099,249.906085841133
161.3,9.70035791684848,248.498506225849,-356.283157788107,266.831024367305
161.4,9.74577397601346,248.261043416745,-356.099629603943,283.750475167795
161.5,9.79117040920235,248.023706719711,-355.904823821216,300.663198690008
161.6,9.83654582083352,247.78650365165,-355.698745339023,317.567948270628
161.7,9.8818988166221,247.549441725925,-355.481399890189,334.463471586896
161.8,9.92722800366589,247.312528451797,-355.252794043574,351.348510497127
161.9,9.97253199053132,247.075771333867,-355.012935209526,368.221801114328
162,10.0178093873393,246.839177871518,-354.761831642088,385.082074176331
162.1,10.063058805851,246.602755558344,-354.499492443958,401.928054838342
162.2,10.1082788595533,246.366511881592,-354.22592756897,418.75846400068
162.3,10.1534681637446,246.130454321586,-353.94114782529,435.572017258185
162.4,10.1986253356199,245.894590351158,-353.645164879293,452.367425362546
162.5,10.2437489943564,245.65892743508,-353.33799125814,469.143394596566
162.6,10.2888377611985,245.423473029481,-353.019640353164,485.898627789649
162.7,10.3338902595428,245.188234581276,-352.690126421087,502.631823066794
162.8,10.3789051150233,244.953219527586,-352.349464589075,519.341674217299
162.9,10.423880955596,244.718435295157,-351.997670855464,536.026873231992
163,10.4688164116232,244.483889299779,-351.634762091432,552.686107791903
163.1,10.5137101159587,244.249588945702,-351.260756045075,569.318061569979
163.2,10.5585607040316,244.015541625052,-350.875671342672,585.92141664469
163.3,10.6033668139304,243.781754717245,-350.479527489549,602.494852600367
163.4,10.6481270864876,243.548235588399,-350.072344872538,619.037045559801
163.5,10.6928401653629,243.314991590748,-349.654144762136,635.546669967731
163.6,10.7375046971271,243.08203006205,-349.224949312581,652.02239876075
163.7,10.7821193313459,242.849358324998,-348.784781563788,668.462902898403
163.8,10.8266827206627,242.616983686631,-348.33366544205,684.86685214619
163.9,10.8711935208819,242.384913437742,-347.871625760926,701.232914475702
164,10.9156503910519,242.153154852284,-347.398688222749,717.559757276995
164.1,10.9600519935477,241.921715186778,-346.91487941789,733.846048004334
