phi_deg,理论_x,理论_y,实际_x,实际_y,z
301.0,-34.1880,111.9960,-30.6844,100.5188,0
301.5,-33.2093,112.2900,-29.8061,100.7827,0
302.0,-32.2281,112.5756,-28.9255,101.0390,0
302.5,-31.2445,112.8525,-28.0426,101.2876,0
303.0,-30.2585,113.1209,-27.1577,101.5284,0
303.5,-29.2702,113.3806,-26.2707,101.7616,0
304.0,-28.2797,113.6317,-25.3816,101.9869,0
304.5,-27.2870,113.8742,-24.4907,102.2045,0
305.0,-26.2922,114.1080,-23.5978,102.4144,0
305.5,-25.2955,114.3331,-22.7032,102.6164,0
306.0,-24.2968,114.5495,-21.8069,102.8106,0
306.5,-23.2962,114.7571,-20.9089,102.9970,0
307.0,-22.2939,114.9560,-20.0093,103.1755,0
307.5,-21.2899,115.1462,-19.1081,103.3462,0
308.0,-20.2842,115.3276,-18.2056,103.5090,0
308.5,-19.2771,115.5002,-17.3016,103.6640,0
309.0,-18.2684,115.6641,-16.3963,103.8110,0
309.5,-17.2584,115.8191,-15.4898,103.9501,0
310.0,-16.2470,115.9653,-14.5820,104.0813,0
310.5,-15.2344,116.1026,-13.6732,104.2046,0
311.0,-14.2207,116.2312,-12.7634,104.3200,0
311.5,-13.2058,116.3508,-11.8525,104.4274,0
312.0,-12.1900,116.4616,-10.9408,104.5268,0
312.5,-11.1732,116.5636,-10.0282,104.6183,0
313.0,-10.1556,116.6567,-9.1149,104.7019,0
313.5,-9.1372,116.7408,-8.2008,104.7774,0
314.0,-8.1181,116.8161,-7.2862,104.8450,0
314.5,-7.0984,116.8825,-6.3710,104.9046,0
315.0,-6.0782,116.9400,-5.4553,104.9562,0
315.5,-5.0574,116.9886,-4.5392,104.9998,0
316.0,-4.0363,117.0283,-3.6227,105.0354,0
316.5,-3.0149,117.0590,-2.7060,105.0630,0
317.0,-1.9933,117.0809,-1.7890,105.0826,0
317.5,-0.9715,117.0938,-0.8720,105.0942,0
318.0,0.0503,117.0979,0.0452,105.0979,0
318.5,1.0722,117.0930,0.9623,105.0935,0
319.0,2.0940,117.0791,1.8794,105.0811,0
319.5,3.1156,117.0564,2.7963,105.0607,0
320.0,4.1370,117.0248,3.7130,105.0323,0
320.5,5.1580,116.9842,4.6294,104.9959,0
321.0,6.1787,116.9347,5.5455,104.9515,0
321.5,7.1989,116.8764,6.4612,104.8991,0
322.0,8.2186,116.8091,7.3763,104.8387,0
322.5,9.2376,116.7329,8.2909,104.7703,0
323.0,10.2559,116.6479,9.2049,104.6940,0
323.5,11.2734,116.5539,10.1182,104.6097,0
324.0,12.2901,116.4511,11.0307,104.5174,0
324.5,13.3059,116.3394,11.9423,104.4172,0
325.0,14.3206,116.2189,12.8531,104.3090,0
325.5,15.3343,116.0895,13.7628,104.1928,0
326.0,16.3467,115.9513,14.6715,104.0688,0
326.5,17.3580,115.8042,15.5791,103.9368,0
327.0,18.3679,115.6483,16.4856,103.7969,0
327.5,19.3764,115.4836,17.3907,103.6490,0
328.0,20.3834,115.3101,18.2946,103.4933,0
328.5,21.3889,115.1279,19.1970,103.3297,0
329.0,22.3927,114.9368,20.0980,103.1583,0
329.5,23.3949,114.7370,20.9974,102.9790,0
330.0,24.3953,114.5285,21.8953,102.7918,0
330.5,25.3938,114.3113,22.7915,102.5968,0
331.0,26.3903,114.0853,23.6859,102.3940,0
331.5,27.3849,113.8507,24.5785,102.1834,0
332.0,28.3774,113.6074,25.4693,101.9651,0
332.5,29.3677,113.3554,26.3581,101.7389,0
333.0,30.3558,113.0948,27.2450,101.5050,0
333.5,31.3416,112.8256,28.1297,101.2634,0
334.0,32.3249,112.5478,29.0123,101.0141,0
334.5,33.3059,112.2614,29.8927,100.7571,0
335.0,34.2842,111.9665,30.7709,100.4924,0
335.5,35.2600,111.6631,31.6466,100.2200,0
336.0,36.2331,111.3511,32.5200,99.9400,0
336.5,37.2034,111.0307,33.3909,99.6524,0
337.0,38.1709,110.7018,34.2592,99.3573,0
337.5,39.1355,110.3645,35.1250,99.0545,0
338.0,40.0971,110.0188,35.9880,98.7442,0
338.5,41.0557,109.6647,36.8484,98.4264,0
